id,CodigoBarras,Descripcion,Rubro,PrecioCosto,PorcIVA,PorcUtil,PrecioVenta,Proveedor,Stock,StockMin,StockMax,CtrlStock,Activo
107,7790580131357,ATUN LA CAMPAGNOLA EN ACEITE 170 GRS,Almacén,5050.0,0.0,0.0,5050.0,null,1,0,0,false,true
108,7798048720228,AVENA ARROLLADA,Almacén,0.0,21.0,0.0,2520.0,null,6,0,0,false,true
109,7798048721553,AVENA INSTANTANEA,Almacén,2256.2,21.0,0.0,2730.0,null,0,0,0,false,true
110,7790045823575,AVENA INSTANTANEA GRANIX 400G,Almacén,0.0,21.0,0.0,3160.0,null,0,0,0,false,true
111,7793253005061,AYUDIN AEROSOL DESINFECTANTE,Limpieza,2024.79,21.0,0.0,2450.0,null,0,0,0,false,true
112,7791100000481,AZUCAR CHANGO 1KG,Sin Clasificar,1239.67,21.0,0.0,1500.0,null,0,0,0,false,true
113,721450785872,AZUCAR DOLCE 1 KG,Almacén,700.0,0.0,40.0,980.0,null,0,0,0,false,true
114,7792540260138,AZUCAR LEDESMA 1 KG,Almacén,1600.0,0.0,0.0,1600.0,null,0,0,0,false,true
115,7790036974354,BAGGIO FRESH POMELO 600ML,Bebidas sin Alcohol,0.0,21.0,0.0,900.0,null,0,0,0,false,true
116,7798101203743,BARRA IRON BAR MENTA,Kiosco,0.0,21.0,0.0,2000.0,null,0,0,0,false,true
117,7798101208038,BARRA IRONBAR COCO,Kiosco,0.0,21.0,0.0,2000.0,null,0,0,0,false,true
118,7798101202555,BARRA IRONBAR DULCE DE LECHE,Kiosco,0.0,21.0,0.0,2000.0,null,0,0,0,false,true
119,7798101208045,BARRA IRONBAR FRUTILLA,Kiosco,0.0,21.0,0.0,2000.0,null,0,0,0,false,true
120,7790520023995,BAYGON,Limpieza,0.0,21.0,0.0,3560.0,null,0,0,0,false,true
121,7790520999429,BAYGON,Limpieza,3223.14,21.0,0.0,3900.0,null,0,0,0,false,true
122,77969088,BELDENT CHICLE MENTA FUERTE 10G,Galletitas y Golosinas,0.0,0.0,0.0,600.0,null,0,0,0,false,true
123,77969071,BELDENT SABOR MENTA,Galletitas y Golosinas,537.19,21.0,0.0,650.0,null,0,0,0,false,true
124,070330631335,BIC MAXI ENCENDEDOR,Kiosco,1700.0,0.0,0.0,1700.0,null,0,0,0,false,true
125,7798060140547,BIDON AGUA IVESS 6.5L,Bebidas sin Alcohol,0.0,21.0,0.0,2400.0,null,0,0,0,false,true
126,7798305390058,BIZCOCHITOS DE SESAMO Y LINO,Galletitas y Golosinas,0.0,21.0,0.0,650.0,null,0,0,0,false,true
